Date,Not indexed,Indexed,Impressions
2026-01-08,,,123
2026-01-09,48,43,186
2026-01-10,48,43,169
2026-01-11,48,43,161
2026-01-12,48,43,197
2026-01-13,48,43,239
2026-01-14,48,43,204
2026-01-15,48,43,272
2026-01-16,48,43,237
2026-01-17,47,43,283
2026-01-18,47,43,270
2026-01-19,47,43,229
2026-01-20,47,43,310
2026-01-21,47,43,279
2026-01-22,47,43,258
2026-01-23,47,43,302
2026-01-24,47,43,219
2026-01-25,47,43,285
2026-01-26,47,43,220
2026-01-27,47,44,159
2026-01-28,47,44,182
2026-01-29,47,44,184
2026-01-30,47,44,187
2026-01-31,47,44,226
2026-02-01,47,44,237
2026-02-02,47,44,286
2026-02-03,48,43,432
2026-02-04,48,43,343
2026-02-05,48,43,382
2026-02-06,48,43,286
2026-02-07,48,43,188
2026-02-08,48,43,273
2026-02-09,48,43,234
2026-02-10,48,43,328
2026-02-11,48,43,250
2026-02-12,48,43,187
2026-02-13,48,43,225
2026-02-14,48,43,286
2026-02-15,48,43,184
2026-02-16,48,43,137
2026-02-17,48,43,153
2026-02-18,48,43,156
2026-02-19,48,43,136
2026-02-20,48,43,148
2026-02-21,48,45,129
2026-02-22,48,45,169
2026-02-23,48,45,212
2026-02-24,50,43,261
2026-02-25,50,43,303
2026-02-26,50,43,283
2026-02-27,50,43,277
2026-02-28,50,43,361
2026-03-01,50,43,283
2026-03-02,50,43,193
2026-03-03,45,42,181
2026-03-04,45,42,237
2026-03-05,45,42,249
2026-03-06,45,42,234
2026-03-07,47,40,206
2026-03-08,47,40,349
2026-03-09,47,40,235
2026-03-10,47,40,174
2026-03-11,47,40,177
2026-03-12,47,40,205
2026-03-13,47,40,225
2026-03-14,47,40,220
2026-03-15,47,40,217
2026-03-16,47,40,204
2026-03-17,46,40,244
2026-03-18,46,40,215
2026-03-19,46,40,319
2026-03-20,46,40,343
2026-03-21,46,40,321
2026-03-22,46,40,313
2026-03-23,46,40,202
2026-03-24,46,40,305
2026-03-25,46,40,333
2026-03-26,46,40,416
2026-03-27,46,40,418
2026-03-28,45,40,240
2026-03-29,45,40,344
2026-03-30,45,40,361
2026-03-31,44,41,241
2026-04-01,44,41,276
2026-04-02,44,41,381
2026-04-03,44,41,462
2026-04-04,44,40,460
2026-04-05,44,40,570
