"slug","file","copies"
"alki-playfield-tennis","alki-playfield-tennis.png",2
"aytc-outdoor-tennis","aytc-outdoor-tennis.png",6
"beacon-hill-playfield-tennis","beacon-hill-playfield-tennis.png",2
"bitter-lake-playfield-tennis","bitter-lake-playfield-tennis.png",4
"brighton-playfield-tennis","brighton-playfield-tennis.png",2
"bryant-playground-tennis","bryant-playground-tennis.png",2
"david-rodgers-park-tennis","david-rodgers-park-tennis.png",3
"dearborn-park-tennis","dearborn-park-tennis.png",2
"delridge-playfield-tennis","delridge-playfield-tennis.png",2
"discovery-park-tennis","discovery-park-tennis.png",2
"froula-playground-tennis","froula-playground-tennis.png",2
"garfield-playfield-tennis","garfield-playfield-tennis.png",2
"gilman-playfield-tennis","gilman-playfield-tennis.png",2
"green-lake-park-west-tennis","green-lake-park-west-tennis.png",2
"hiawatha-playfield-tennis","hiawatha-playfield-tennis.png",3
"jefferson-park-lid-tennis-court","jefferson-park-lid-tennis-court.png",4
"laurelhurst-playfield-tennis","laurelhurst-playfield-tennis.png",4
"lower-woodland-playfield","lower-woodland-playfield.png",10
"lower-woodland-playfield-upper-courts","lower-woodland-playfield-upper-courts.png",4
"madison-park-tennis","madison-park-tennis.png",2
"madrona-playground-tennis","madrona-playground-tennis.png",2
"magnolia-park-tennis","magnolia-park-tennis.png",2
"magnolia-playfield-tennis","magnolia-playfield-tennis.png",4
"meadowbrook-playfield-tennis","meadowbrook-playfield-tennis.png",1
"miller-playfield-tennis","miller-playfield-tennis.png",2
"montlake-playfield-tennis","montlake-playfield-tennis.png",2
"mount-baker-park-tennis","mount-baker-park-tennis.png",2
"observatory-tennis","observatory-tennis.png",2
"rainier-beach-playfield-tennis","rainier-beach-playfield-tennis.png",4
"rainier-playfield-tennis","rainier-playfield-tennis.png",4
"riverview-playfield-tennis","riverview-playfield-tennis.png",2
"rogers-playfield-tennis","rogers-playfield-tennis.png",2
"sam-smith-i90-lid-park-tennis","sam-smith-i90-lid-park-tennis.png",2
"seward-park-tennis","seward-park-tennis.png",2
"solstice-park-tennis","solstice-park-tennis.png",6
"soundview-playfield-tennis","soundview-playfield-tennis.png",2
"volunteer-park-court-01-","volunteer-park-court-01-.png",4
"wallingford-playfield-tennis","wallingford-playfield-tennis.png",2
"walt-hundley-playfield-tennis","walt-hundley-playfield-tennis.png",2
