id,facility_name,address,google_map_url,lat,lon,average_rating,total_ratings,created_at,updated_at,slug,qr_color_hex,qr_target_url,canonical_addr,qr_bg_hex,qr_fg_hex,court_count
204,Alki Playfield Tennis,"Alki Playfield 5817 Sw Lander St Seattle, Wa",https://www.google.com/maps/search/?api=1&query=5817+SW+Lander+St%2C+Seattle%2C+WA+98136,,,,,2025-05-02 18:42:24.297345+00,2025-07-22 16:12:15.98886+00,alki-playfield-tennis,#004F2D,https://firstserveseattle.com,alkiplayfield5817swlanderstseattlewa,#1f3d1d,#FFFFFF,2
205,Aytc Outdoor Tennis,"Amy Yee Tennis Center (Aytc) 2000 Martin Luther King Jr. Way S Seattle, Wa",https://www.google.com/maps/search/?api=1&query=2000+Martin+Luther+King+Jr+Way+S%2C+Seattle%2C+WA+98144,,,,,2025-05-02 18:42:24.297345+00,2025-05-21 22:25:56.106037+00,aytc-outdoor-tennis,#004F2D,https://firstserveseattle.com,amyyeetenniscenteraytc2000martinlutherkingjrwaysseattlewa,#1f3d1d,#FFFFFF,6
206,Beacon Hill Playfield Tennis,"Beacon Hill Playfield 1902 13th Ave S Seattle, Wa",https://www.google.com/maps/search/?api=1&query=1902+13th+Ave+S%2C+Seattle%2C+WA+98144,,,,,2025-05-02 18:42:24.297345+00,2025-07-22 16:12:22.952235+00,beacon-hill-playfield-tennis,#004F2D,https://firstserveseattle.com,beaconhillplayfield190213thavesseattlewa,#a95027,#FFFFFF,2
207,Bitter Lake Playfield Tennis,"Bitter Lake Playfield 13035 Linden Ave N Seattle, Wa",https://www.google.com/maps/search/?api=1&query=13035+Linden+Ave+N%2C+Seattle%2C+WA+98133,,,,,2025-05-02 18:42:24.297345+00,2025-07-22 16:16:49.558874+00,bitter-lake-playfield-tennis,#004F2D,https://firstserveseattle.com,bitterlakeplayfield13035lindenavenseattlewa,#26408b,#FFFFFF,4
208,Brighton Playfield Tennis,"Brighton Playfield 6000 39th Ave S Seattle, Wa",https://www.google.com/maps/search/?api=1&query=6000+39th+Ave+S%2C+Seattle%2C+WA+98136,,,,,2025-05-02 18:42:24.297345+00,2025-07-22 16:19:28.133351+00,brighton-playfield-tennis,#004F2D,https://firstserveseattle.com,brightonplayfield600039thavesseattlewa,#26408b,#FFFFFF,2
209,Bryant Playground Tennis,"Bryant Playground 4103 Ne 65th St Seattle, Wa",https://www.google.com/maps/search/?api=1&query=4103+NE+65th+St%2C+Seattle%2C+WA+98115,,,,,2025-05-02 18:42:24.297345+00,2025-07-22 16:22:41.743895+00,bryant-playground-tennis,#004F2D,https://firstserveseattle.com,bryantplayground4103ne65thstseattlewa,#1f3d1d,#FFFFFF,2
210,David Rodgers Park Tennis,"David Rodgers Park 2800 1st Ave W Seattle, Wa",https://www.google.com/maps/search/?api=1&query=2800+1st+Ave+W%2C+Seattle%2C+WA+98119,,,,,2025-05-02 18:42:24.297345+00,2025-07-22 16:25:17.359078+00,david-rodgers-park-tennis,#004F2D,https://firstserveseattle.com,davidrodgerspark28001stavewseattlewa,#26408b,#FFFFFF,3
211,Dearborn Park Tennis,"Dearborn Park 2919 S Brandon St Seattle, Wa",https://www.google.com/maps/search/?api=1&query=2919+S+Brandon+St%2C+Seattle%2C+WA+98126,,,,,2025-05-02 18:42:24.297345+00,2025-07-22 16:30:51.39327+00,dearborn-park-tennis,#004F2D,https://firstserveseattle.com,dearbornpark2919sbrandonstseattlewa,#a95027,#FFFFFF,2
212,Delridge Playfield Tennis,"Delridge Playfield 4458 Delridge Way Sw Seattle, Wa",https://www.google.com/maps/search/?api=1&query=4458+Delridge+Way+SW%2C+Seattle%2C+WA+98106,,,,,2025-05-02 18:42:24.297345+00,2025-07-22 16:41:47.587065+00,delridge-playfield-tennis,#004F2D,https://firstserveseattle.com,delridgeplayfield4458delridgewayswseattlewa,#9eaf81,#000000,2
213,Discovery Park Tennis,"Discovery Park 3801 Discovery Park Blvd Seattle, Wa",https://www.google.com/maps/search/?api=1&query=3801+Discovery+Park+Blvd%2C+Seattle%2C+WA+98199,,,,,2025-05-02 18:42:24.297345+00,2025-07-22 16:48:15.080905+00,discovery-park-tennis,#004F2D,https://firstserveseattle.com,discoverypark3801discoveryparkblvdseattlewa,#26408b,#FFFFFF,2
214,Froula Playground Tennis,"Froula Playground 7200 12th Ave Ne Seattle, Wa",https://www.google.com/maps/search/?api=1&query=7200+12th+Ave+NE%2C+Seattle%2C+WA+98115,,,,,2025-05-02 18:42:24.297345+00,2025-07-22 16:57:30.576787+00,froula-playground-tennis,#004F2D,https://firstserveseattle.com,froulaplayground720012thaveneseattlewa,#1f3d1d,#FFFFFF,2
215,Garfield Playfield Tennis,"Garfield Playfield 2323 E Cherry St Seattle, Wa",https://www.google.com/maps/search/?api=1&query=2323+E+Cherry+St%2C+Seattle%2C+WA+98122,,,,,2025-05-02 18:42:24.297345+00,2025-07-22 19:00:58.84814+00,garfield-playfield-tennis,#004F2D,https://firstserveseattle.com,garfieldplayfield2323echerrystseattlewa,#a95027,#FFFFFF,2
216,Gilman Playfield Tennis,"Gilman Playfield 923 Nw 54th St Seattle, Wa",https://www.google.com/maps/search/?api=1&query=923+NW+54th+St%2C+Seattle%2C+WA+98107,,,,,2025-05-02 18:42:24.297345+00,2025-07-22 19:04:34.471143+00,gilman-playfield-tennis,#004F2D,https://firstserveseattle.com,gilmanplayfield923nw54thstseattlewa,#9eaf81,#000000,2
217,Green Lake Park West Tennis,"Green Lake Park 7201 E Green Lake Dr N Seattle, Wa",https://www.google.com/maps/search/?api=1&query=7201+E+Green+Lake+Dr+N%2C+Seattle%2C+WA+98115,,,,,2025-05-02 18:42:24.297345+00,2025-07-22 19:07:39.389356+00,green-lake-park-west-tennis,#004F2D,https://firstserveseattle.com,greenlakepark7201egreenlakedrnseattlewa,#26408b,#FFFFFF,2
218,Hiawatha Playfield Tennis,"Hiawatha Playfield 2700 Sw California Ave Sw Seattle, Wa",https://www.google.com/maps/search/?api=1&query=2700+California+Ave+SW%2C+Seattle%2C+WA+98116,,,,,2025-05-02 18:42:24.297345+00,2025-07-22 19:11:17.417189+00,hiawatha-playfield-tennis,#004F2D,https://firstserveseattle.com,hiawathaplayfield2700swcaliforniaaveswseattlewa,#9eaf81,#000000,3
219,Jefferson Park Lid Tennis Court,"Jefferson Park (Previously Lid Playfield) 3901 Beacon Ave S Seattle, Wa",https://www.google.com/maps/search/?api=1&query=3901+Beacon+Ave+S%2C+Seattle%2C+WA+98108,,,,,2025-05-02 18:42:24.297345+00,2025-07-22 20:34:14.32525+00,jefferson-park-lid-tennis-court,#004F2D,https://firstserveseattle.com,jeffersonparkpreviouslylidplayfield3901beaconavesseattlewa,#26408b,#FFFFFF,4
220,Laurelhurst Playfield Tennis,"Laurelhurst Playfield 4544 Ne 41st St Seattle, Wa",https://www.google.com/maps/search/?api=1&query=4544+NE+41st+St%2C+Seattle%2C+WA+98105,,,,,2025-05-02 18:42:24.297345+00,2025-07-22 20:36:30.079857+00,laurelhurst-playfield-tennis,#004F2D,https://firstserveseattle.com,laurelhurstplayfield4544ne41ststseattlewa,#1f3d1d,#FFFFFF,4
222,Lower Woodland Playfield,"Lower Woodland Playfield 5773 West Green Lake Way N Seattle, Wa",https://www.google.com/maps/search/?api=1&query=5773+West+Green+Lake+Way+N%2C+Seattle%2C+WA+98103,,,,,2025-05-02 18:42:24.297345+00,2025-07-22 23:14:49.196787+00,lower-woodland-playfield,#004F2D,https://firstserveseattle.com,lowerwoodlandplayfield5773westgreenlakewaynseattlewa,#9eaf81,#000000,10
221,Lower Woodland Playfield Upper Courts,"Lower Woodland Playfield 1000 N 50th St Seattle, Wa",https://www.google.com/maps/search/?api=1&query=1000+N+50th+St%2C+Seattle%2C+WA+98103,,,,,2025-05-02 18:42:24.297345+00,2025-07-22 20:41:56.20172+00,lower-woodland-playfield-upper-courts,#004F2D,https://firstserveseattle.com,lowerwoodlandplayfield1000n50thstseattlewa,#a95027,#FFFFFF,4
223,Madison Park Tennis,"Madison Park E Madison St & E Howe St Seattle, Wa",https://www.google.com/maps/search/?api=1&query=1800+42nd+Ave+E%2C+Seattle%2C+WA+98112,,,,,2025-05-02 18:42:24.297345+00,2025-07-22 23:18:31.754549+00,madison-park-tennis,#004F2D,https://firstserveseattle.com,madisonparkemadisonstehowestseattlewa,#1f3d1d,#FFFFFF,2
